4|978-0-470-12686-4|2026-06-01|2026-06-15|true|2026-06-01
4|978-0-201-63361-0|2026-06-07|2026-06-21|true|2026-06-07
6|978-0-470-12686-4|2026-06-26|2026-07-10|false|
7|978-0-470-12686-4|2026-06-26|2026-07-10|true|2026-06-26
8|978-0-470-12686-4|2026-06-26|2026-07-10|false|
10|978-0-470-12686-4|2026-06-26|2026-07-10|true|2026-06-26
11|978-0-470-12686-4|2026-06-26|2026-07-10|false|
10|978-0-470-12686-4|2026-06-26|2026-07-10|false|
13|978-0-470-12686-4|2026-06-26|2026-07-10|false|
14|978-0-470-12686-4|2026-06-26|2026-07-10|false|
15|978-0-470-12686-4|2026-06-26|2026-07-10|false|
